,Unnamed: 0,방송일자,채널명,프로그램시작시간,프로그램종료시간,프로그램명,방송회차명,프로그램장르소분류명,출연진내용,장르1,장르2,가구평균시청률(%),게시글수,댓글수,동영상조회(K)
14,14,20200427,SBS,21,222114,굿캐스팅,1회,미니시리즈,"최강희,이상엽,유인영",수사,,8.266666667,1528.666666666667,6412.666666666667,1949.666666666667
15,15,20210828,tvN,21,223007,갯마을차차차,1회,미니시리즈,"신민아,김선호,이상이",로맨스,,7.833333333,11486.33333333333,80168.0,13308.33333333333
16,16,20201221,KBS2,21,220647,암행어사조선비밀수사단,1회,미니시리즈,"김명수,권나라,이이경",사극,,7.766666667,971.75,4623.75,587.5
17,17,20211112,MBC,21,230302,옷소매붉은끝동,1회,미니시리즈,"이준호,이세영,강훈",사극,로맨스,7.7,11375.66666666667,72011.66666666667,12622.33333333333
18,18,20210830,SBS,21,230711,홍천기,1회,미니시리즈,"안효섭,김유정,공명",판타지,사극,7.6,5172.333333333333,26260.33333333333,6505.0
19,19,20210405,KBS2,21,220440,달이뜨는강,15회,미니시리즈,"김소현,나인우,이지훈",사극,,7.5,2155.75,27815.0,1793.0
20,20,20211011,KBS2,21,225039,연모,1회,미니시리즈,"박은빈,로운,남윤수",로맨스, 사극,7.466666667,4569.5,22272.5,4698.25
21,21,20200417,SBS,22,223513,더킹영원의군주,1회,미니시리즈,"이민호,김고은,우도환",판타지,로맨스,7.233333333,27650.75,115917.0,3951.75
22,22,20201128,OCN,22,233944,경이로운소문,1회,미니시리즈,"조병규,유준상,김세정",액션,퇴마,7.033333333,13907.66666666667,72183.66666666667,9761.666666666666
23,23,20211023,tvN,21,222659,지리산,1회,미니시리즈,"전지현,주지훈,성동일",미스터리,,6.866666667,5445.25,25946.0,1861.0
24,24,20211220,KBS2,21,224640,꽃피면달생각하고,1회,미니시리즈,"유승호,이혜리,변우석",사극,로맨스,6.8,942.0,3328.5,421.0
25,25,20200815,tvN,21,221333,비밀의숲2,1회,미니시리즈,"조승우,배두나,최무성",추리,,6.566666667,16375.75,66438.25,3494.0
26,26,20200907,tvN,21,221730,청춘기록,1회,미니시리즈,"박보검,박소담,변우석",로맨스,,6.5,17265.75,90025.0,5794.5
