주차,프로그램명,채널,요일,게시글(건수),댓글(건수),동영상조회(건수),뉴스(건수),동영상(건수),게시글(점유율%),댓글(점유율%),동영상조회(점유율%),뉴스(점유율%),동영상(점유율%),가구시청자수,2049시청자수,가구시청률(%),2049시청률(%)
202046,나의위험한아내,MBN,월화,120,198,"64,167",603,71,0.2,0,0.1,1.5,1.1,"454,407","193,363",2.2,0.9
202046,구미호뎐,tvN,수목,"2,935","23,806","8,309,479",901,134,5.3,4.9,11.1,2.2,2,"994,060","967,017",4.9,4.3
202046,스타트업,tvN,토일,"5,398","43,201","2,909,417",932,148,9.8,8.9,3.9,2.3,2.3,"835,195","696,985",4.1,3.1
202046,써치,OCN,토일,625,"3,742","549,396",460,97,1.1,0.8,0.7,1.1,1.5,"863,218","659,428",4.2,2.9
202046,나를사랑한스파이,MBC,수목,316,475,"172,299",437,64,0.6,0.1,0.2,1.1,1,"564,142","343,319",2.8,1.5
202046,카이로스,MBC,월화,"1,276","3,711","83,386",692,44,2.3,0.8,0.1,1.7,0.7,"456,877","201,994",2.2,0.9
202046,펜트하우스,SBS,월화,"3,930","13,468","5,359,581","1,182",81,7.1,2.8,7.1,2.9,1.2,"2,052,118","1,197,385",10.1,5.3
202046,산후조리원,tvN,월화,921,"8,820","4,721,278",989,121,1.7,1.8,6.3,2.4,1.8,"688,761","656,676",3.4,2.9
202046,KBS드라마스페셜2020,KBS2,수목,67,52,"25,825",82,27,0.1,0,0,0.2,0.4,"435,865","172,714",2.1,0.8
202046,제발그남자만나지마요,MBCevery1,월화,137,416,"26,998",854,39,0.2,0.1,0,2.1,0.6,"61,620","56,768",0.3,0.3
202046,라이브온,JTBC,월화,225,"2,036","212,649",401,5,0.4,0.4,0.3,1,0.1,0,0,0,0
202046,복수해라,TVCHOSUN,토일,18,18,"1,425",244,1,0,0,0,0.6,0,0,0,0,0
202046,경이로운소문,OCN,토일,68,327,"11,654",175,14,0.1,0.1,0,0.4,0.2,0,0,0,0
202046,낮과밤,tvN,월화,78,316,"9,860",218,6,0.1,0.1,0,0.5,0.1,0,0,0,0
202046,바람피면죽는다,KBS2,수목,30,46,"27,182",139,6,0.1,0,0,0.3,0.1,0,0,0,0
202047,도도솔솔라라솔,KBS2,수목,"1,504","8,576","611,097",342,63,2.7,1.8,0.9,0.8,1,"502,863","361,378",2.5,1.6
202047,사생활,JTBC,수목,368,"2,522","236,916",314,43,0.7,0.5,0.4,0.8,0.7,"303,319","179,720",1.5,0.8
202047,오삼광빌라,KBS2,토일,"1,157","2,574","956,762",630,69,2.1,0.5,1.4,1.5,1.1,"5,032,074","1,880,633",24.7,8.4
202047,나의위험한아내,MBN,월화,86,102,"106,880",307,70,0.2,0,0.2,0.7,1.1,"320,850","107,360",1.6,0.5
202047,구미호뎐,tvN,수목,"1,356","11,875","2,210,135",494,74,2.5,2.5,3.3,1.2,1.2,"706,971","686,664",3.5,3.1
202047,스타트업,tvN,토일,"3,820","41,262","2,994,130",994,144,6.9,8.5,4.5,2.4,2.3,"854,545","738,350",4.2,3.3
202047,나를사랑한스파이,MBC,수목,237,565,"119,477",418,41,0.4,0.1,0.2,1,0.6,"469,171","245,846",2.3,1.1
202047,카이로스,MBC,월화,"1,088","3,263","106,588",458,41,2,0.7,0.2,1.1,0.6,"511,144","222,902",2.5,1
202047,펜트하우스,SBS,월화,"4,288","14,960","4,330,933","1,166",54,7.8,3.1,6.5,2.8,0.9,"2,319,683","1,253,246",11.4,5.6
202047,산후조리원,tvN,월화,852,"7,331","3,038,646",864,113,1.5,1.5,4.6,2.1,1.8,"636,453","549,330",3.1,2.4
202047,KBS드라마스페셜2020,KBS2,수목,130,147,"23,667",500,46,0.2,0,0,1.2,0.7,"314,924","168,593",1.5,0.8
202047,제발그남자만나지마요,MBCevery1,월화,106,448,"24,286",190,23,0.2,0.1,0,0.5,0.4,"83,392","80,775",0.4,0.4
202047,라이브온,JTBC,월화,845,"4,250","433,413","1,419",24,1.5,0.9,0.7,3.4,0.4,"307,157","232,855",1.5,1
202047,복수해라,TVCHOSUN,토일,406,614,"42,372","1,416",48,0.7,0.1,0.1,3.4,0.8,"518,623","177,042",2.5,0.8
202047,경이로운소문,OCN,토일,93,539,"19,385",210,18,0.2,0.1,0,0.5,0.3,0,0,0,0
202047,낮과밤,tvN,월화,70,335,"24,688",400,12,0.1,0.1,0,1,0.2,0,0,0,0
202047,바람피면죽는다,KBS2,수목,49,62,"14,055",153,6,0.1,0,0,0.4,0.1,0,0,0,0
202047,여신강림,tvN,수목,162,759,"96,159",426,6,0.3,0.2,0.1,1,0.1,0,0,0,0
202047,철인왕후,tvN,토일,210,967,"41,245",320,10,0.4,0.2,0.1,0.8,0.2,0,0,0,0
202048,도도솔솔라라솔,KBS2,수목,"2,417","12,948","507,368",612,62,3.7,2.8,0.6,1.4,0.9,"593,002","353,587",2.9,1.6
202048,사생활,JTBC,수목,520,"4,027","354,577",739,70,0.8,0.9,0.4,1.7,1.1,"278,051","183,957",1.4,0.8
202048,오삼광빌라,KBS2,토일,"1,146","2,822","774,402",558,70,1.8,0.6,1,1.3,1.1,"4,964,929","1,897,030",24.4,8.4
202048,나의위험한아내,MBN,월화,79,111,"79,423",432,77,0.1,0,0.1,1,1.2,"452,326","147,583",2.2,0.7
202048,구미호뎐,tvN,수목,"2,717","22,717","5,714,139",817,122,4.2,4.9,7.2,1.9,1.8,"1,058,502","983,060",5.2,4.4
202048,스타트업,tvN,토일,"3,735","45,717","3,828,026","1,021",143,5.8,9.8,4.9,2.3,2.2,"872,158","750,454",4.3,3.3
202048,나를사랑한스파이,MBC,수목,307,"1,001","81,905",526,64,0.5,0.2,0.1,1.2,1,"498,141","302,132",2.4,1.3
202048,카이로스,MBC,월화,"2,012","8,262","232,980",629,76,3.1,1.8,0.3,1.4,1.1,"480,706","282,948",2.4,1.3
202048,펜트하우스,SBS,월화,"6,714","23,386","8,803,528","1,828",77,10.3,5,11.2,4.2,1.2,"2,525,032","1,558,987",12.4,6.9
