프로그램명,방송시작일,채널,요일,게시글수,댓글수,동영상조회(K),뉴스,동영상수,가구시청자수(K),개인시청자수(K),남성시청자수(K),여성시청자수(K),10대시청자수(K),20대시청자수(K),30대시청자수(K),40대시청자수(K),50대시청자수(K),TVVOD시청자수(K),PC실시간(K),PCVOD(K),Mobile실시간(K),MobileVOD(K)
거짓말의거짓말,2020.09.04,채널A,금,"2,210","8,123","1,157","1,890",198,580,790,312,478,29,46,51,141,278,0.1,667,"2,361","4,863","7,301"
좀비탐정,2020.09.21,KBS2,월화,"1,357","5,343",352,"2,709",91,620,961,419,542,60,55,80,264,191,0.1,"1,937","1,837",909,"1,503"
우리사랑했을까,2020.07.08,JTBC,수목,698,"2,056",118,542,24,366,589,278,311,14,63,109,110,124,0,-,314,225,720
스타트업,2020.10.17,tvN,토일,650,"3,072",117,435,6,-,-,-,-,-,-,-,-,-,-,-,-,624,88
사생활,2020.10.07,JTBC,수목,438,"3,079",309,449,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
우아한친구들,2020.07.10,JTBC,금,425,912,456,560,66,806,"1,120",440,681,21,104,75,256,396,0,153,"2,578",807,"6,670"
연애는귀찮지만외로운건싫어,2020.08.11,MBCeve,월화,409,"2,269",202,"1,160",159,47,56,18,38,1,6,6,22,9,0,443,655,381,"2,842"
학교기담,2020.09.12,TVCHOS,토일,320,935,9,173,35,214,277,121,156,19,22,19,37,64,-,-,40,2,719
구미호뎐,2020.10.07,tvN,수목,299,"2,412",433,754,31,-,-,-,-,-,-,-,-,-,-,-,-,-,295
도도솔솔라라솔,2020.10.07,KBS2,수목,269,763,29,432,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
그놈이그놈이다,2020.07.06,KBS2,월화,212,806,109,568,31,582,779,309,470,17,44,58,97,150,0,556,41,344,562
시네마틱드라마SF8,2020.08.14,MBC,금,201,362,26,314,50,241,330,150,180,17,23,38,94,57,0,-,-,-,-
써치,2020.10.17,OCN,토일,60,417,56,224,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나의위험한아내,2020.10.05,MBN,월화,37,50,8,377,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
나를사랑한스파이,2020.10.21,MBC,수목,23,50,0,71,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
