,배우,작품,작품 개수
131,이민기,"[' 오! 주인님 ', ' 모두의 거짓말 ', ' 뷰티 인사이드 ', ' 이번 생은 처음이라 ']",4
132,태인호,"[' 시지프스 : the myth ', ' 영혼수선공 ', ' 국민 여러분! ']",3
133,채수빈,"[' 반의반 ', ' 여우각시별 ', ' 2017 KBS 드라마스페셜 ', ' 최강배달꾼 ', ' 역적 : 백성을 훔친 도적 ']",5
134,송강,"[' 기상청 사람들 : 사내연애 잔혹사 편 ', ' 알고있지만, ', ' 나빌레라 ', ' 악마가 너의 이름을 부를 때 ', ' 그녀는 거짓말을 너무 사랑해 ']",5
135,김설현,[' 낮과 밤 '],1
136,박보검,"[' 청춘기록 ', ' 남자친구 ']",2
137,지수,"[' 설강화 : snowdrop ', ' 하트가 빛나는 순간 ', ' 하이클래스 ', ' 두 번째 남편 ', ' 달이 뜨는 강 ', ' 내가 가장 예뻤을 때 ', ' 365 : 운명을 거스르는 1년 ', ' 우아한 모녀 ', ' 여우각시별 ', ' 탁구공 ']",10
138,고보결,"[' 하이바이, 마마! ']",1
139,고준,"[' 바람피면 죽는다 ', ' 오 마이 베이비 ', ' 빙의 ', ' 2018 KBS 드라마 스페셜 ', ' 언터처블 ']",5
140,남지현,"[' 마녀식당으로 오세요 ', ' 경로를 이탈하였습니다 ', ' 365 : 운명을 거스르는 1년 ', ' 백일의 낭군님 ', ' 수상한 파트너 ']",5
141,황민현,[' 라이브온 '],1
142,윤현민,"[' 복수해라 ', ' 그놈이 그놈이다 ', ' 계룡선녀전 ', ' 마녀의 법정 ', ' 터널 ']",5
143,류혜영,"[' 로스쿨 ', ' 은주의 방 ']",2
144,신세경,"[' 런 온 ', ' 신입사관 구해령 ', ' 흑기사 ', ' 하백의 신부 ']",4
145,김옥빈,"[' 다크홀 ', ' 아스달 연대기 ', ' 작은 신의 아이들 ']",3
146,이성경,"[' 낭만닥터 김사부 2 ', ' 멈추고 싶은 순간 : 어바웃 타임 ']",2
147,조승우,"[' 시지프스 : the myth ', ' 비밀의 숲 2 ', ' 라이프 ', ' 비밀의 숲 ']",4
148,전여빈,"[' 빈센조 ', ' 멜로가 체질 ']",2
149,김세정,"[' 사내맞선 ', ' 경이로운 소문 ', ' 너의 노래를 들려줘 ', ' 학교2017 ']",4
150,박은빈,"[' 연모 ', ' 브람스를 좋아하세요? ', ' 스토브리그 ', ' 오늘의 탐정 ', ' 이판사판 ', ' 청춘시대2 ', ' 아버님 제가 모실게요 ']",7
151,주지훈,"[' 지리산 ', ' 하이에나 ', ' 아이템 ']",3
152,강말금,[' 대박부동산 '],1
153,김민재,"[' 달리와 감자탕 ', ' 브람스를 좋아하세요? ', ' 방법 ', ' 조선혼담공작소 꽃파당 ', ' 위대한 유혹자 ', ' 추리의 여왕 ']",6
154,윤종훈,"[' 펜트하우스3 ', ' 펜트하우스2 ', ' 펜트하우스 ', ' 내 사랑 치유기 ']",4
155,조여정,"[' 하이클래스 ', ' 바람피면 죽는다 ', ' 99억의 여자 ', ' 아름다운 세상 ', ' 완벽한 아내 ']",5
156,고민시,"[' 지리산 ', ' 오월의 청춘 ', ' KBS 드라마 스페셜 2020 ', ' 시크릿 부티크 ']",4
157,김혜윤,"[' 설강화 : snowdrop ', ' 어사와 조이 ', ' 어쩌다 발견한 하루 ']",3
158,유인영,"[' 크레이지 러브 ', ' 굿캐스팅 ', ' 손 꼭 잡고, 지는 석양을 바라보자 ']",3
159,김지석,"[' 월간 집 ', ' 어쩌다 가족 ', ' 아는 건 별로 없지만 가족입니다 ', ' 동백꽃 필 무렵 ', ' 톱스타 유백이 ', ' 20세기 소년소녀 ']",6
160,탕준상,[' 라켓소년단 '],1
161,이지훈,"[' 스폰서 ', ' 달이 뜨는 강 ', ' 저녁 같이 드실래요 ', ' 99억의 여자 ', ' 신입사관 구해령 ', ' 당신의 하우스헬퍼 ']",6
162,김하늘,"[' 킬힐 ', ' 18 어게인 ', ' 바람이 분다 ']",3
163,육성재,[' 쌍갑포차 '],1
164,장혁,"[' 모범택시 ', ' 본 대로 말하라 ', ' 나의 나라 ', ' 배드파파 ', ' 기름진 멜로 ', ' 돈꽃 ']",6
165,박형식,"[' 해피니스 ', ' 슈츠 ']",2
166,장영남,"[' 뫼비우스: 검은태양 ', ' KBS 드라마 스페셜 2021 ', ' 검은 태양 ', ' 악마판사 ']",4
167,손현주,"[' 트레이서 ', ' 모범형사 ', ' 저스티스 ', ' 크리미널마인드 ']",4
168,최수영,"[' 런 온 ', ' 본 대로 말하라 ', ' 밥상차리는 남자 ']",3
169,이청아,"[' 낮과 밤 ', ' 안녕 드라큘라 ', ' VIP ', ' 단짠 오피스 ']",4
170,이준혁,"[' 해피니스 ', ' 다크홀 ', ' 비밀의 숲 2 ', ' 쌍갑포차 ', ' 365 : 운명을 거스르는 1년 ', ' 모두의 거짓말 ', ' 60일, 지정생존자 ', ' 시를 잊은 그대에게 ']",8
171,공효진,[' 동백꽃 필 무렵 '],1
172,이영애,"[' 구경이 ', ' 사임당,빛의 일기 ']",2
173,신혜선,"[' 철인왕후 ', ' 단, 하나의 사랑 ', ' 사의 찬미 ', ' 서른이지만 열일곱입니다 ', ' 황금빛 내인생 ']",5
174,변우석,"[' 꽃 피면 달 생각하고 ', ' 청춘기록 ', ' 조선혼담공작소 꽃파당 ', ' 모두의 연애 ']",4
175,김효진,"[' 인간실격 ', ' 사생활 ']",2
176,한선화,"[' 술꾼도시여자들 ', ' 편의점 샛별이 ', ' 데릴남편 오작두 ']",3
177,경수진,"[' 마우스 ', ' 트레인 ', ' 조선생존기 ', ' 멜로홀릭 ']",4
178,한소희,"[' 알고있지만, ', ' 부부의 세계 ', ' 어비스 ']",3
179,이보영,"[' 마인 ', ' 화양연화 - 삶이 꽃이 되는 순간 ', ' 마더 ', ' 귓속말 ']",4
180,이이경,"[' 암행어사: 조선비밀수사단 ', ' 드라마 스테이지 2020 ', ' 으라차차 와이키키 시즌2 ', ' 붉은 달 푸른 해 ']",4
181,정문성,"[' 뫼비우스: 검은태양 ', ' 슬기로운 의사생활2 ', ' 방법 ']",3
182,배두나,"[' 비밀의 숲 2 ', ' 최고의 이혼 ', ' 비밀의 숲 ']",3
183,유지태,"[' 화양연화 - 삶이 꽃이 되는 순간 ', ' 이몽 ', ' 매드독 ']",3
184,서예지,"[' 사이코지만 괜찮아 ', ' 무법 변호사 ', ' 구해줘 ']",3
185,박건일,[' 연애는 귀찮지만 외로운 건 싫어! '],1
186,박지훈,"[' 멀리서 보면 푸른 봄 ', ' 조선혼담공작소 꽃파당 ']",2
187,옥택연,"[' 어사와 조이 ', ' 빈센조 ', ' 더 게임:0시를 향하여 ', ' 구해줘 ']",4
188,유승호,"[' 꽃 피면 달 생각하고 ', ' 메모리스트 ', ' 복수가 돌아왔다 ', ' 로봇이 아니야 ', ' 군주-가면의 주인 ']",5
189,우도환,"[' 더 킹 : 영원의 군주 ', ' 나의 나라 ', ' 위대한 유혹자 ']",3
190,남궁민,"[' 검은 태양 ', ' 낮과 밤 ', ' 스토브리그 ', ' 닥터 프리즈너 ', ' 훈남정음 ', ' 조작 ']",6
191,조동혁,"[' 루갈 ', ' 평일 오후 세시의 연인 ']",2
192,이솜,"[' 모범택시 ', ' 구해줘 2 ', ' 제3의 매력 ', ' 이번 생은 처음이라 ']",4
193,서지훈,"[' 그놈이 그놈이다 ', ' 어서와 ', ' 조선혼담공작소 꽃파당 ', ' 애간장 ']",4
194,이학주,"[' 공작도시 ', ' 사생활 ', ' 야식남녀 ']",3
195,고현정,"[' 너를 닮은 사람 ', ' 동네변호사 조들호2 : 죄와 벌 ']",2
196,배종옥,"[' 철인왕후 ', ' 우아한 가 ', ' 60일, 지정생존자 ', ' 라이브(Live) ', ' 이름 없는 여자 ']",5
197,김상경,"[' 라켓소년단 ', ' 청일전자 미쓰리 ']",2
198,김소연,"[' 펜트하우스3 ', ' 펜트하우스2 ', ' 펜트하우스 ', ' 세상에서 제일 예쁜 내 딸 ', ' 시크릿 마더 ']",5
199,정인선,"[' 너의 밤이 되어줄게 ', ' 싸이코패스 다이어리 ', ' 내 뒤에 테리우스 ']",3
200,송혜교,"[' 지금, 헤어지는 중입니다 ', ' 남자친구 ']",2
201,송지효,"[' 마녀식당으로 오세요 ', ' 우리, 사랑했을까 ', ' 러블리 호러블리 ', ' 드라마 스테이지 ']",4
202,김범,"[' 고스트 닥터 ', ' 로스쿨 ', ' 구미호뎐 ']",3
203,김민규,"[' 사내맞선 ', ' IDOL (아이돌 : The Coup) ', ' 간택 - 여인들의 전쟁 ', ' 퍼퓸 ']",4
204,신성록,"[' 카이로스 ', ' 배가본드 ', ' 퍼퓸 ', ' 황후의 품격 ', ' 리턴 ']",5
205,이레,"[' 홈타운 ', ' 안녕? 나야! ']",2
206,엄지원,"[' 산후조리원 ', ' 방법 ', ' 봄이 오나 봄 ', ' 조작 ']",4
207,박병은,"[' 인간실격 ', ' 오 마이 베이비 ', ' 친애하는 판사님께 ', ' 이번 생은 처음이라 ', ' 추리의 여왕 ']",5
208,정해인,"[' 설강화 : snowdrop ', ' 반의반 ', ' 봄밤 ', ' 밥 잘 사주는 예쁜 누나 ', ' 당신이 잠든 사이에 ']",5
209,윤보미,[' 제발 그 남자 만나지 마요 '],1
210,박규영,"[' 달리와 감자탕 ', ' 악마판사 ', ' 사이코지만 괜찮아 ']",3
211,김정영,"[' KBS 드라마 스페셜 2021 ', ' 십시일반 ']",2
212,김주헌,"[' 지금, 헤어지는 중입니다 ', ' 도도솔솔라라솔 ', ' 사이코지만 괜찮아 ']",3
213,황인엽,[' 여신강림 '],1
214,박성웅,"[' 루갈 ', ' 악마가 너의 이름을 부를 때 ', ' 하늘에서 내리는 일억개의 별 ', ' 라이프 온 마스 ', ' 맨투맨 ']",5
215,정용화,"[' 대박부동산 ', ' 더 패키지 ']",2
216,최무성,"[' 비밀의 숲 2 ', ' 슬기로운 감빵생활 ']",2
217,유준상,"[' 경이로운 소문 ', ' 우아한 친구들 ', ' 왜그래 풍상씨 ', ' 조작 ']",4
218,지현우,"[' 신사와 아가씨 ', ' 연애는 귀찮지만 외로운 건 싫어! ', ' 슬플 때 사랑한다 ', ' 사생결단 로맨스 ', ' 도둑놈 도둑님 ']",5
219,조성하,"[' 나빌레라 ', ' 날아라 개천용 ', ' 메모리스트 ', ' 백일의 낭군님 ']",4
220,정재영,"[' 미치지 않고서야 ', ' 검법남녀 시즌2 ', ' 검법남녀 ', ' 듀얼 ']",4
221,신현빈,"[' 너를 닮은 사람 ', ' 슬기로운 의사생활2 ', ' 자백 ', ' 미스트리스 ']",4
222,강훈,"[' 옷소매 붉은 끝동 ', ' 너는 나의 봄 ', ' 라켓소년단 ', ' 어서와 ']",4
223,박민영,"[' 기상청 사람들 : 사내연애 잔혹사 편 ', ' 날씨가 좋으면 찾아가겠어요 ', ' 그녀의 사생활 ', ' 김비서가 왜 그럴까 ', ' 7일의 왕비 ']",5
224,김명수,"[' 태종 이방원 ', ' 암행어사: 조선비밀수사단 ', ' 어서와 ', ' 우아한 모녀 ', ' 단, 하나의 사랑 ', ' 미스 함무라비 ']",6
225,정소민,"[' 월간 집 ', ' 영혼수선공 ', ' 하늘에서 내리는 일억개의 별 ', ' 이번 생은 처음이라 ']",4
226,이하늬,"[' 원 더 우먼 ', ' 열혈사제 ']",2
227,엄태구,"[' 홈타운 ', ' 구해줘 2 ']",2
228,차은우,"[' 여신강림 ', ' 신입사관 구해령 ', ' 내 아이디는 강남미인 ']",3
229,김다미,"[' 그 해 우리는 ', ' 이태원 클라쓰 ']",2
230,김태희,"[' 하이바이, 마마! ']",1
231,조정석,"[' 슬기로운 의사생활2 ', ' 슬기로운 의사생활 ', ' 녹두꽃 ', ' 투깝스 ']",4
232,문소리,"[' 미치지 않고서야 ', ' 시네마틱 드라마 SF8 ', ' 라이프 ']",3
233,이현욱,"[' 마인 ', ' 선배, 그 립스틱 바르지 마요 ', ' 써치 ', ' 타인은 지옥이다 ']",4
234,이하나,"[' 보이스 4 ', ' 반의반 ', ' 보이스 시즌3 ', ' 보이스 시즌2 ']",4
235,안효섭,"[' 사내맞선 ', ' 홍천기 ', ' 낭만닥터 김사부 2 ', ' 어비스 ', ' 서른이지만 열일곱입니다 ']",5
